SWING t:3.600000, st:100.000000, T=0.226195, Kx:0.000306, Kz:0.012737, x_swing:0.012248, x_support:39.987752, z:0.573145
SWING t:3.800000, st:100.000000, T=0.238761, Kx:0.000360, Kz:0.014184, x_swing:0.014401, x_support:39.985599, z:0.638286
SWING t:3.800000, st:100.000000, T=0.238761, Kx:0.000360, Kz:0.014184, x_swing:0.014401, x_support:39.985599, z:0.638286
SWING t:3.800000, st:100.000000, T=0.238761, Kx:0.000360, Kz:0.014184, x_swing:0.014401, x_support:39.985599, z:0.638286
SWING t:3.800000, st:100.000000, T=0.238761, Kx:0.000360, Kz:0.014184, x_swing:0.014401, x_support:39.985599, z:0.638286
SWING t:4.000000, st:100.000000, T=0.251327, Kx:0.000420, Kz:0.015708, x_swing:0.016791, x_support:39.983209, z:0.706879
SWING t:4.000000, st:100.000000, T=0.251327, Kx:0.000420, Kz:0.015708, x_swing:0.016791, x_support:39.983209, z:0.706879
SWING t:4.000000, st:100.000000, T=0.251327, Kx:0.000420, Kz:0.015708, x_swing:0.016791, x_support:39.983209, z:0.706879
SWING t:4.000000, st:100.000000, T=0.251327, Kx:0.000420, Kz:0.015708, x_swing:0.016791, x_support:39.983209, z:0.706879
SWING t:4.200000, st:100.000000, T=0.263894, Kx:0.000486, Kz:0.017309, x_swing:0.019431, x_support:39.980569, z:0.778913
SWING t:4.200000, st:100.000000, T=0.263894, Kx:0.000486, Kz:0.017309, x_swing:0.019431, x_support:39.980569, z:0.778913
SWING t:4.200000, st:100.000000, T=0.263894, Kx:0.000486, Kz:0.017309, x_swing:0.019431, x_support:39.980569, z:0.778913
SWING t:4.200000, st:100.000000, T=0.263894, Kx:0.000486, Kz:0.017309, x_swing:0.019431, x_support:39.980569, z:0.778913
SWING t:4.400000, st:100.000000, T=0.276460, Kx:0.000558, Kz:0.018986, x_swing:0.022334, x_support:39.977666, z:0.854377
SWING t:4.400000, st:100.000000, T=0.276460, Kx:0.000558, Kz:0.018986, x_swing:0.022334, x_support:39.977666, z:0.854377
SWING t:4.400000, st:100.000000, T=0.276460, Kx:0.000558, Kz:0.018986, x_swing:0.022334, x_support:39.977666, z:0.854377
SWING t:4.400000, st:100.000000, T=0.276460, Kx:0.000558, Kz:0.018986, x_swing:0.022334, x_support:39.977666, z:0.854377
SWING t:4.600000, st:100.000000, T=0.289027, Kx:0.000638, Kz:0.020739, x_swing:0.025511, x_support:39.974489, z:0.933260
SWING t:4.600000, st:100.000000, T=0.289027, Kx:0.000638, Kz:0.020739, x_swing:0.025511, x_support:39.974489, z:0.933260
SWING t:4.600000, st:100.000000, T=0.289027, Kx:0.000638, Kz:0.020739, x_swing:0.025511, x_support:39.974489, z:0.933260
SWING t:4.600000, st:100.000000, T=0.289027, Kx:0.000638, Kz:0.020739, x_swing:0.025511, x_support:39.974489, z:0.933260
SWING t:4.800000, st:100.000000, T=0.301593, Kx:0.000724, Kz:0.022568, x_swing:0.028975, x_support:39.971025, z:1.015548
SWING t:4.800000, st:100.000000, T=0.301593, Kx:0.000724, Kz:0.022568, x_swing:0.028975, x_support:39.971025, z:1.015548
SWING t:4.800000, st:100.000000, T=0.301593, Kx:0.000724, Kz:0.022568, x_swing:0.028975, x_support:39.971025, z:1.015548
SWING t:4.800000, st:100.000000, T=0.301593, Kx:0.000724, Kz:0.022568, x_swing:0.028975, x_support:39.971025, z:1.015548
SWING t:5.000000, st:100.000000, T=0.314159, Kx:0.000818, Kz:0.024472, x_swing:0.032737, x_support:39.967263, z:1.101228
SWING t:5.000000, st:100.000000, T=0.314159, Kx:0.000818, Kz:0.024472, x_swing:0.032737, x_support:39.967263, z:1.101228
SWING t:5.000000, st:100.000000, T=0.314159, Kx:0.000818, Kz:0.024472, x_swing:0.032737, x_support:39.967263, z:1.101228
SWING t:5.000000, st:100.000000, T=0.314159, Kx:0.000818, Kz:0.024472, x_swing:0.032737, x_support:39.967263, z:1.101228
SWING t:5.200000, st:100.000000, T=0.326726, Kx:0.000920, Kz:0.026451, x_swing:0.036810, x_support:39.963190, z:1.190288
SWING t:5.200000, st:100.000000, T=0.326726, Kx:0.000920, Kz:0.026451, x_swing:0.036810, x_support:39.963190, z:1.190288
SWING t:5.200000, st:100.000000, T=0.326726, Kx:0.000920, Kz:0.026451, x_swing:0.036810, x_support:39.963190, z:1.190288
SWING t:5.200000, st:100.000000, T=0.326726, Kx:0.000920, Kz:0.026451, x_swing:0.036810, x_support:39.963190, z:1.190288
SWING t:5.400000, st:100.000000, T=0.339292, Kx:0.001030, Kz:0.028505, x_swing:0.041205, x_support:39.958795, z:1.282713
SWING t:5.400000, st:100.000000, T=0.339292, Kx:0.001030, Kz:0.028505, x_swing:0.041205, x_support:39.958795, z:1.282713
SWING t:5.400000, st:100.000000, T=0.339292, Kx:0.001030, Kz:0.028505, x_swing:0.041205, x_support:39.958795, z:1.282713
SWING t:5.400000, st:100.000000, T=0.339292, Kx:0.001030, Kz:0.028505, x_swing:0.041205, x_support:39.958795, z:1.282713
SWING t:5.600000, st:100.000000, T=0.351858, Kx:0.001148, Kz:0.030633, x_swing:0.045935, x_support:39.954065, z:1.378488
SWING t:5.600000, st:100.000000, T=0.351858, Kx:0.001148, Kz:0.030633, x_swing:0.045935, x_support:39.954065, z:1.378488
SWING t:5.600000, st:100.000000, T=0.351858, Kx:0.001148, Kz:0.030633, x_swing:0.045935, x_support:39.954065, z:1.378488
SWING t:5.600000, st:100.000000, T=0.351858, Kx:0.001148, Kz:0.030633, x_swing:0.045935, x_support:39.954065, z:1.378488
SWING t:5.800000, st:100.000000, T=0.364425, Kx:0.001275, Kz:0.032836, x_swing:0.051012, x_support:39.948988, z:1.477599
SWING t:5.800000, st:100.000000, T=0.364425, Kx:0.001275, Kz:0.032836, x_swing:0.051012, x_support:39.948988, z:1.477599
SWING t:5.800000, st:100.000000, T=0.364425, Kx:0.001275, Kz:0.032836, x_swing:0.051012, x_support:39.948988, z:1.477599
SWING t:5.800000, st:100.000000, T=0.364425, Kx:0.001275, Kz:0.032836, x_swing:0.051012, x_support:39.948988, z:1.477599
SWING t:6.000000, st:100.000000, T=0.376991, Kx:0.001411, Kz:0.035112, x_swing:0.056446, x_support:39.943554, z:1.580029
SWING t:6.000000, st:100.000000, T=0.376991, Kx:0.001411, Kz:0.035112, x_swing:0.056446, x_support:39.943554, z:1.580029
SWING t:6.000000, st:100.000000, T=0.376991, Kx:0.001411, Kz:0.035112, x_swing:0.056446, x_support:39.943554, z:1.580029
SWING t:6.000000, st:100.000000, T=0.376991, Kx:0.001411, Kz:0.035112, x_swing:0.056446, x_support:39.943554, z:1.580029
SWING t:6.200000, st:100.000000, T=0.389557, Kx:0.001556, Kz:0.037461, x_swing:0.062251, x_support:39.937749, z:1.685763
SWING t:6.200000, st:100.000000, T=0.389557, Kx:0.001556, Kz:0.037461, x_swing:0.062251, x_support:39.937749, z:1.685763
SWING t:6.200000, st:100.000000, T=0.389557, Kx:0.001556, Kz:0.037461, x_swing:0.062251, x_support:39.937749, z:1.685763
SWING t:6.200000, st:100.000000, T=0.389557, Kx:0.001556, Kz:0.037461, x_swing:0.062251, x_support:39.937749, z:1.685763
SWING t:6.400000, st:100.000000, T=0.402124, Kx:0.001711, Kz:0.039884, x_swing:0.068438, x_support:39.931562, z:1.794783
SWING t:6.400000, st:100.000000, T=0.402124, Kx:0.001711, Kz:0.039884, x_swing:0.068438, x_support:39.931562, z:1.794783
SWING t:6.400000, st:100.000000, T=0.402124, Kx:0.001711, Kz:0.039884, x_swing:0.068438, x_support:39.931562, z:1.794783
SWING t:6.400000, st:100.000000, T=0.402124, Kx:0.001711, Kz:0.039884, x_swing:0.068438, x_support:39.931562, z:1.794783
SWING t:6.600000, st:100.000000, T=0.414690, Kx:0.001875, Kz:0.042379, x_swing:0.075018, x_support:39.924982, z:1.907074
SWING t:6.600000, st:100.000000, T=0.414690, Kx:0.001875, Kz:0.042379, x_swing:0.075018, x_support:39.924982, z:1.907074
SWING t:6.600000, st:100.000000, T=0.414690, Kx:0.001875, Kz:0.042379, x_swing:0.075018, x_support:39.924982, z:1.907074
SWING t:6.600000, st:100.000000, T=0.414690, Kx:0.001875, Kz:0.042379, x_swing:0.075018, x_support:39.924982, z:1.907074
SWING t:6.800000, st:100.000000, T=0.427257, Kx:0.002050, Kz:0.044947, x_swing:0.082003, x_support:39.917997, z:2.022616
SWING t:6.800000, st:100.000000, T=0.427257, Kx:0.002050, Kz:0.044947, x_swing:0.082003, x_support:39.917997, z:2.022616
SWING t:6.800000, st:100.000000, T=0.427257, Kx:0.002050, Kz:0.044947, x_swing:0.082003, x_support:39.917997, z:2.022616
SWING t:6.800000, st:100.000000, T=0.427257, Kx:0.002050, Kz:0.044947, x_swing:0.082003, x_support:39.917997, z:2.022616
SWING t:7.000000, st:100.000000, T=0.439823, Kx:0.002235, Kz:0.047586, x_swing:0.089405, x_support:39.910595, z:2.141391
SWING t:7.000000, st:100.000000, T=0.439823, Kx:0.002235, Kz:0.047586, x_swing:0.089405, x_support:39.910595, z:2.141391
SWING t:7.000000, st:100.000000, T=0.439823, Kx:0.002235, Kz:0.047586, x_swing:0.089405, x_support:39.910595, z:2.141391
SWING t:7.000000, st:100.000000, T=0.439823, Kx:0.002235, Kz:0.047586, x_swing:0.089405, x_support:39.910595, z:2.141391
SWING t:7.200000, st:100.000000, T=0.452389, Kx:0.002431, Kz:0.050297, x_swing:0.097235, x_support:39.902765, z:2.263382
SWING t:7.200000, st:100.000000, T=0.452389, Kx:0.002431, Kz:0.050297, x_swing:0.097235, x_support:39.902765, z:2.263382
SWING t:7.200000, st:100.000000, T=0.452389, Kx:0.002431, Kz:0.050297, x_swing:0.097235, x_support:39.902765, z:2.263382
SWING t:7.200000, st:100.000000, T=0.452389, Kx:0.002431, Kz:0.050297, x_swing:0.097235, x_support:39.902765, z:2.263382
SWING t:7.400000, st:100.000000, T=0.464956, Kx:0.002638, Kz:0.053079, x_swing:0.105504, x_support:39.894496, z:2.388568
SWING t:7.400000, st:100.000000, T=0.464956, Kx:0.002638, Kz:0.053079, x_swing:0.105504, x_support:39.894496, z:2.388568
SWING t:7.400000, st:100.000000, T=0.464956, Kx:0.002638, Kz:0.053079, x_swing:0.105504, x_support:39.894496, z:2.388568
SWING t:7.400000, st:100.000000, T=0.464956, Kx:0.002638, Kz:0.053079, x_swing:0.105504, x_support:39.894496, z:2.388568
SWING t:7.600000, st:100.000000, T=0.477522, Kx:0.002856, Kz:0.055932, x_swing:0.114224, x_support:39.885776, z:2.516930
SWING t:7.600000, st:100.000000, T=0.477522, Kx:0.002856, Kz:0.055932, x_swing:0.114224, x_support:39.885776, z:2.516930
SWING t:7.600000, st:100.000000, T=0.477522, Kx:0.002856, Kz:0.055932, x_swing:0.114224, x_support:39.885776, z:2.516930
SWING t:7.600000, st:100.000000, T=0.477522, Kx:0.002856, Kz:0.055932, x_swing:0.114224, x_support:39.885776, z:2.516930
SWING t:7.800000, st:100.000000, T=0.490088, Kx:0.003085, Kz:0.058854, x_swing:0.123406, x_support:39.876594, z:2.648447
SWING t:7.800000, st:100.000000, T=0.490088, Kx:0.003085, Kz:0.058854, x_swing:0.123406, x_support:39.876594, z:2.648447
SWING t:7.800000, st:100.000000, T=0.490088, Kx:0.003085, Kz:0.058854, x_swing:0.123406, x_support:39.876594, z:2.648447
SWING t:7.800000, st:100.000000, T=0.490088, Kx:0.003085, Kz:0.058854, x_swing:0.123406, x_support:39.876594, z:2.648447
SWING t:8.000000, st:100.000000, T=0.502655, Kx:0.003327, Kz:0.061847, x_swing:0.133061, x_support:39.866939, z:2.783100
SWING t:8.000000, st:100.000000, T=0.502655, Kx:0.003327, Kz:0.061847, x_swing:0.133061, x_support:39.866939, z:2.783100
SWING t:8.000000, st:100.000000, T=0.502655, Kx:0.003327, Kz:0.061847, x_swing:0.133061, x_support:39.866939, z:2.783100
SWING t:8.000000, st:100.000000, T=0.502655, Kx:0.003327, Kz:0.061847, x_swing:0.133061, x_support:39.866939, z:2.783100
SWING t:8.200000, st:100.000000, T=0.515221, Kx:0.003580, Kz:0.064908, x_swing:0.143200, x_support:39.856800, z:2.920866
SWING t:8.200000, st:100.000000, T=0.515221, Kx:0.003580, Kz:0.064908, x_swing:0.143200, x_support:39.856800, z:2.920866
SWING t:8.200000, st:100.000000, T=0.515221, Kx:0.003580, Kz:0.064908, x_swing:0.143200, x_support:39.856800, z:2.920866
