I/elog            [] EasyLogger V2.2.99 is initialize success.
I/MAIN            [] Dog Init Success
D/GAIT            []  SWING t:86.000000, st:250.000000, x_swing:292.662598, x_support:-257.662598, z:108.981297
D/GAIT            []  SWING t:87.000000, st:250.000000, x_swing:301.324778, x_support:-266.324778, z:110.430093
D/GAIT            []  SWING t:88.000000, st:250.000000, x_swing:310.100349, x_support:-275.100349, z:111.853352
D/GAIT            []  SWING t:89.000000, st:250.000000, x_swing:318.987257, x_support:-283.987257, z:113.250176
D/GAIT            []  SWING t:90.000000, st:250.000000, x_swing:327.983382, x_support:-292.983382, z:114.619683
D/GAIT            []  SWING t:91.000000, st:250.000000, x_swing:337.086531, x_support:-302.086531, z:115.961006
D/GAIT            []  SWING t:92.000000, st:250.000000, x_swing:346.294447, x_support:-311.294447, z:117.273300
D/GAIT            []  SWING t:93.000000, st:250.000000, x_swing:355.604803, x_support:-320.604803, z:118.555735
D/GAIT            []  SWING t:94.000000, st:250.000000, x_swing:365.015212, x_support:-330.015212, z:119.807501
D/GAIT            []  SWING t:95.000000, st:250.000000, x_swing:374.523219, x_support:-339.523219, z:121.027807
D/GAIT            []  SWING t:96.000000, st:250.000000, x_swing:384.126310, x_support:-349.126310, z:122.215883
D/GAIT            []  SWING t:97.000000, st:250.000000, x_swing:393.821910, x_support:-358.821910, z:123.370979
D/GAIT            []  SWING t:98.000000, st:250.000000, x_swing:403.607388, x_support:-368.607388, z:124.492364
D/GAIT            []  SWING t:99.000000, st:250.000000, x_swing:413.480052, x_support:-378.480052, z:125.579331
D/GAIT            []  SWING t:100.000000, st:250.000000, x_swing:423.437158, x_support:-388.437158, z:126.631192
D/GAIT            []  SWING t:101.000000, st:250.000000, x_swing:433.475908, x_support:-398.475908, z:127.647285
D/GAIT            []  SWING t:102.000000, st:250.000000, x_swing:443.593452, x_support:-408.593452, z:128.626966
D/GAIT            []  SWING t:103.000000, st:250.000000, x_swing:453.786891, x_support:-418.786891, z:129.569616
D/GAIT            []  SWING t:104.000000, st:250.000000, x_swing:464.053277, x_support:-429.053277, z:130.474642
D/GAIT            []  SWING t:105.000000, st:250.000000, x_swing:474.389616, x_support:-439.389616, z:131.341470
D/GAIT            []  SWING t:106.000000, st:250.000000, x_swing:484.792872, x_support:-449.792872, z:132.169554
D/GAIT            []  SWING t:107.000000, st:250.000000, x_swing:495.259963, x_support:-460.259963, z:132.958370
D/GAIT            []  SWING t:108.000000, st:250.000000, x_swing:505.787770, x_support:-470.787770, z:133.707420
D/GAIT            []  SWING t:109.000000, st:250.000000, x_swing:516.373135, x_support:-481.373135, z:134.416231
D/GAIT            []  SWING t:110.000000, st:250.000000, x_swing:527.012861, x_support:-492.012861, z:135.084356
D/GAIT            []  SWING t:111.000000, st:250.000000, x_swing:537.703720, x_support:-502.703720, z:135.711372
D/GAIT            []  SWING t:112.000000, st:250.000000, x_swing:548.442451, x_support:-513.442451, z:136.296883
D/GAIT            []  SWING t:113.000000, st:250.000000, x_swing:559.225761, x_support:-524.225761, z:136.840520
D/GAIT            []  SWING t:114.000000, st:250.000000, x_swing:570.050330, x_support:-535.050330, z:137.341939
D/GAIT            []  SWING t:115.000000, st:250.000000, x_swing:580.912812, x_support:-545.912812, z:137.800823
D/GAIT            []  SWING t:116.000000, st:250.000000, x_swing:591.809837, x_support:-556.809837, z:138.216882
D/GAIT            []  SWING t:117.000000, st:250.000000, x_swing:602.738014, x_support:-567.738014, z:138.589855
D/GAIT            []  SWING t:118.000000, st:250.000000, x_swing:613.693931, x_support:-578.693931, z:138.919504
D/GAIT            []  SWING t:119.000000, st:250.000000, x_swing:624.674159, x_support:-589.674159, z:139.205623
D/GAIT            []  SWING t:120.000000, st:250.000000, x_swing:635.675253, x_support:-600.675253, z:139.448030
